17A1 410.079 0.111416
17A2 412.634 0.121595
17A3 408.36 0.119141
17A4 409.209 0.126987
17A5 413.593 0.119915
17A6 411.706 0.120987
17B1 427.856 0.127373
17B2 424.684 0.121722
17B3 426.822 0.127322
17B4 422.689 0.120288
17B5 420.582 0.106415
17B6 419.807 0.115224
17C1 BAD
17C2 417.801 0.108904
17C3 423.873 0.133031
17C4 425.982 0.130429
17C5 419.669 0.118863
17C6 423.969 0.12087
12A1 467.708 0.16846
12A2 467.117 0.154395
12A3 464.435 0.148189
12A4 461.227 0.136505
12A5 463.236 0.134152
12A6 BAD
12B1 462.594 0.125535
12B2 461.253 0.148911
12B3 465.857 0.147184
12B4 468.507 0.153575
12B5 463.693 0.132792
12B6 467.757 0.146566
12C1 446.649 0.152626
12C2 451.695 0.136087
12C3 444.542 0.152629
12C4 447.026 0.148544
12C5 454.426 0.147664
12C6 451.493 0.170079
16A1 468.938 0.166432
16A2 464.667 0.13665
16A3 470.558 0.138973
16A4 468.5 0.141906
16A5 463.058 0.141105
16A6 464.751 0.135974
16B1 446.944 0.145759
16B2 449.361 0.133139
16B3 448.994 0.147835
16B4 453.335 0.137777
16B5 454.153 0.14205
16B6 456.24 0.140601
16C1 452.236 0.142977
16C2 455.527 0.145953
16C3 447.284 0.155622
16C4 445.352 0.143152
16C5 453.547 0.146697
16C6 448.542 0.149753
13A1 426.438 0.152683
13A2 422.021 0.129428
13A3 428.597 0.1566
13A4 426.298 0.173036
13A5 419.909 0.105088
13A6 422.089 0.126986
13B1 410.824 0.11501
13B2 411.503 0.105959
13B3 413.178 0.113038
13B4 416.006 0.109095
13B5 414.236 0.104839
13B6 416.421 0.106061
13C1 414.881 0.116553
13C2 415.715 0.0988121
13C3 411.874 0.128835
13C4 409.97 0.120316
13C5 BAD
13C6 410.629 0.110021
22A1 BAD
22A2 414.582 0.113257
22A3 409.936 0.12388
22A4 BAD
22A5 BAD
22A6 412.538 0.1112
22B1 430.313 0.163744
22B2 BAD
22B3 429.338 0.152377
22B4 425.621 0.13414
22B5 423.084 0.125625
22B6 BAD
22C1 420.198 0.11628
22C2 417.95 0.118216
22C3 424.162 0.127556
22C4 427.118 0.122197
22C5 BAD
22C6 425.649 0.126087
18A1 449.235 0.18717
18A2 450.314 0.318024
18A3 446.194 0.161586
18A4 448.88 0.161173
18A5 456.628 0.191287
18A6 453.758 0.162579
18B1 466.878 0.155739
18B2 466.637 0.16859
18B3 463.105 0.127144
18B4 459.75 0.146588
18B5 BAD
18B6 459.672 0.140576
18C1 464.998 0.135662
18C2 463.599 0.128233
18C3 468.705 0.143836
18C4 470.999 0.126962
18C5 465.405 0.135318
18C6 469.548 0.161178
14A1 431.201 0.13449
14A2 426.786 0.122168
14A3 BAD
14A4 427.708 0.1292
14A5 422.792 0.130302
14A6 423.635 0.128745
14B1 BAD
14B2 415.378 0.118942
14B3 419.577 0.119654
14B4 422.752 0.145635
14B5 418.52 0.123003
14B6 422.386 0.131822
14C1 413.831 0.103012
14C2 415.581 0.10041
14C3 411.023 0.116133
14C4 BAD
14C5 BAD
14C6 411.842 0.114546
23A1 466.166 0.129767
23A2 463.714 0.12107
23A3 BAD
23A4 471.304 0.133754
23A5 464.699 0.143204
23A6 468.755 0.152957
23B1 445.702 0.172279
23B2 450.8 0.169524
23B3 445.185 0.163892
23B4 449.23 0.188464
23B5 454.971 0.188459
23B6 454.097 0.154258
23C1 463.86 0.129281
23C2 464.31 0.124599
23C3 459.786 0.157672
23C4 456.154 0.151939
23C5 460.947 0.148023
23C6 456.27 0.13818
